area_name,measure_point_id,acid_Zuur,acid_Zwakzuur,acid_Water,ground_water_Vrijdiep,ground_water_Water,ground_water_Zeerondiep,ground_water_Ondiep,ground_water_Diep,stability_Stabiel,stability_Redelijkstabiel,stability_Instabiel,stability_Water,ground_type_Zandenleem,ground_type_Water,ground_type_Veenenzand,ground_type_Veen,ground_type_Kleienzand,ground_type_Leem,ground_type_Zand,pce_coating_percentage,total_pipe_lenght
Almelo Tusveld,276,0.0,210.98,0.0,0.0,0.0,0.0,210.98,0.0,210.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,210.98,0.0,0.0,1.0,210.98
Almelo Tusveld,208,0.0,0.58,0.0,0.58,0.0,0.0,0.0,0.0,0.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.58,1.0,0.58
Almelo Tusveld,314,0.0,2.1,0.0,0.0,0.0,0.0,2.1,0.0,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1,1.0,2.1
Almelo Tusveld,316,0.0,176.34,0.0,0.0,0.0,0.0,176.34,0.0,176.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,176.34,0.0,0.0,1.0,176.34
Almelo Tusveld,268,0.0,37.71,0.0,0.0,0.0,9.31,28.4,0.0,37.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.71,1.0,37.71
Almelo Tusveld,283,0.0,147.35,0.0,0.0,0.0,0.0,14.17,133.18,147.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,147.35,1.0,147.36
Almelo Tusveld,322,0.0,12.54,0.0,12.54,0.0,0.0,0.0,0.0,12.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.54,1.0,12.54
Almelo Tusveld,251,0.0,0.61,0.0,0.61,0.0,0.0,0.0,0.0,0.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.61,1.0,0.61
Almelo Tusveld,265,0.0,29.98,0.0,4.85,0.0,0.0,25.13,0.0,29.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.98,1.0,29.98
Almelo Tusveld,229,0.0,0.35,0.0,0.35,0.0,0.0,0.0,0.0,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35,0.0,0.35
Almelo Tusveld,244,0.72,0.0,0.0,0.72,0.0,0.0,0.0,0.0,0.72,0.0,0.0,0.0,0.72,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.72
Almelo Tusveld,311,0.0,261.57,0.0,77.85,0.0,0.0,183.72,0.0,261.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,183.72,0.0,77.85,1.0,261.58
Almelo Tusveld,243,0.0,3.48,0.0,3.48,0.0,0.0,0.0,0.0,3.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.48,1.0,3.48
Almelo Tusveld,242,375.27,340.8,0.0,607.53,0.0,0.0,0.0,108.54,716.07,0.0,0.0,0.0,375.27,0.0,0.0,0.0,0.0,0.0,340.8,1.0,716.07
Almelo Tusveld,289,0.0,4.5,0.0,4.5,0.0,0.0,0.0,0.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,1.0,4.5
Almelo Tusveld,291,0.0,1.07,0.0,0.0,0.0,0.0,1.07,0.0,1.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.07,0.0,0.0,0.0,1.07
Almelo Tusveld,269,0.0,109.08,0.0,0.0,0.0,109.08,0.0,0.0,109.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109.08,1.0,109.08
Almelo Tusveld,201,0.0,0.54,0.0,0.54,0.0,0.0,0.0,0.0,0.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.54,1.0,0.54
Almelo Tusveld,279,0.0,0.2,0.0,0.0,0.0,0.0,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1.0,0.2
Almelo Tusveld,219,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,0.5
Almelo Tusveld,227,0.0,0.2,0.0,0.0,0.0,0.0,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.2
Almelo Tusveld,281,0.0,0.67,0.0,0.0,0.0,0.0,0.0,0.67,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.67,1.0,0.67
Almelo Tusveld,209,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,0.5
Almelo Tusveld,287,0.0,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1.0,0.2
Almelo Tusveld,231,0.0,2.92,0.0,2.92,0.0,0.0,0.0,0.0,2.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.92,0.0,2.92
Almelo Tusveld,301,0.0,331.95,0.0,331.95,0.0,0.0,0.0,0.0,331.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,331.95,1.0,331.95
Almelo Tusveld,250,0.0,0.54,0.0,0.54,0.0,0.0,0.0,0.0,0.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.54,1.0,0.54
Almelo Tusveld,213,0.0,52.01,0.0,52.01,0.0,0.0,0.0,0.0,52.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.01,1.0,52.01
Almelo Tusveld,205,0.0,4.43,0.0,0.0,0.0,0.0,0.0,4.43,4.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.43,1.0,4.43
