area_id,measure_point_id,sw_0,sw_1,sw_2,sw_3,sw_4,sw_5,sw_6,sw_7,sw_8,sw_9,acid_Zuur,acid_Zwakzuur,acid_Water,ground_water_Vrijdiep,ground_water_Water,ground_water_Zeerondiep,ground_water_Ondiep,ground_water_Diep,stability_Stabiel,stability_Redelijkstabiel,stability_Instabiel,stability_Water,ground_type_Zandenleem,ground_type_Water,ground_type_Veenenzand,ground_type_Veen,ground_type_Kleienzand,ground_type_Leem,ground_type_Zand,pipe_coating,pipe_length,point_label,gradient_label,binned_points,binned_gradients
Deurningen,474,15.6331398829,81.2516722063,69.2580716108,11.06900481,-42.8789311118,-61.0016863704,-44.5950728324,-18.5400823188,-9.0840888329,-22.9998499964,0.0,540.54,0.0,540.54,0.0,0.0,0.0,0.0,540.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,540.54,1.0,540.54,-40.9391782502,-179.393282538,5,7
Deurningen,474,81.2516722063,69.2580716108,11.06900481,-42.8789311118,-61.0016863704,-44.5950728324,-18.5400823188,-9.0840888329,-22.9998499964,-40.9391782502,0.0,540.54,0.0,540.54,0.0,0.0,0.0,0.0,540.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,540.54,1.0,540.54,-31.505624956,94.335532942,5,8
Deurningen,474,69.2580716108,11.06900481,-42.8789311118,-61.0016863704,-44.5950728324,-18.5400823188,-9.0840888329,-22.9998499964,-40.9391782502,-31.505624956,0.0,540.54,0.0,540.54,0.0,0.0,0.0,0.0,540.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,540.54,1.0,540.54,17.9478922321,494.535171881,6,10
Deurningen,474,11.06900481,-42.8789311118,-61.0016863704,-44.5950728324,-18.5400823188,-9.0840888329,-22.9998499964,-40.9391782502,-31.505624956,17.9478922321,0.0,540.54,0.0,540.54,0.0,0.0,0.0,0.0,540.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,540.54,1.0,540.54,71.9532891232,540.053968911,7,10
Deurningen,474,-42.8789311118,-61.0016863704,-44.5950728324,-18.5400823188,-9.0840888329,-22.9998499964,-40.9391782502,-31.505624956,17.9478922321,71.9532891232,0.0,540.54,0.0,540.54,0.0,0.0,0.0,0.0,540.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,540.54,1.0,540.54,54.375503687,-175.777854362,7,7
Deurningen,466,418.501591068,11.0139458791,922.728681214,320.087717147,-883.621333448,-1478.64693932,-1102.29585053,-175.10435942,612.511931734,794.091310882,0.0,418.65,0.0,0.0,0.0,0.0,204.12,214.53,418.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,204.12,0.0,214.53,1.0,418.65,-44.1728691494,368.306247574,5,9
Deurningen,466,11.0139458791,922.728681214,320.087717147,-883.621333448,-1478.64693932,-1102.29585053,-175.10435942,612.511931734,794.091310882,368.306247574,0.0,418.65,0.0,0.0,0.0,0.0,204.12,214.53,418.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,204.12,0.0,214.53,1.0,418.65,-7.34224439201,-262.630722913,5,6
Deurningen,466,922.728681214,320.087717147,-883.621333448,-1478.64693932,-1102.29585053,-175.10435942,612.511931734,794.091310882,368.306247574,-262.630722913,0.0,418.65,0.0,0.0,0.0,0.0,204.12,214.53,418.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,204.12,0.0,214.53,1.0,418.65,-33.6053166833,-577.330913851,5,5
Deurningen,466,320.087717147,-883.621333448,-1478.64693932,-1102.29585053,-175.10435942,612.511931734,794.091310882,368.306247574,-262.630722913,-577.330913851,0.0,418.65,0.0,0.0,0.0,0.0,204.12,214.53,418.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,204.12,0.0,214.53,1.0,418.65,-91.3384080684,-285.120754533,4,6
Deurningen,466,-883.621333448,-1478.64693932,-1102.29585053,-175.10435942,612.511931734,794.091310882,368.306247574,-262.630722913,-577.330913851,-285.120754533,0.0,418.65,0.0,0.0,0.0,0.0,204.12,214.53,418.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,204.12,0.0,214.53,1.0,418.65,-119.850483522,440.13159989,3,9
